# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	38602
#@/user_id	1e00f3d4-bebe-4409-a48d-8e6aa5527cef
a 	啊	c=175 d=1.15467 t=38602
bao zheng bu da si ni 	保證不打死你	c=1 d=1.8287e-13 t=38602
bao zheng le 	包整了	c=2 d=5.05911e-14 t=38602
bao zhu 	寶珠	c=1 d=7.79331e-09 t=38602
bao zhuang 	包裝	c=3 d=1.73892e-10 t=38602
bao zhuang cheng 	包裝成	c=1 d=1.74764e-09 t=38602
bei 	倍	c=3 d=1.71834e-16 t=38602
bei 	備	c=0 d=8.13486e-44 t=38602
bei 	北	c=0 d=1.59658e-64 t=38602
bei 	唄	c=9 d=0.386741 t=38602
bei 	背	c=1 d=2.34396e-51 t=38602
bei 	被	c=52 d=0.0155158 t=38602
bei ban 	背板	c=1 d=3.41392e-63 t=38602
bei bao han 	被包含	c=1 d=1.78258e-36 t=38602
bei chai xia lai de 	被拆下來的	c=1 d=1.02811e-32 t=38602
bei cheng shu 	被乘數	c=1 d=3.63008e-50 t=38602
bei cheng wei 	被稱爲	c=1 d=4.2141e-11 t=38602
bei da kai 	被打開	c=1 d=9.39973e-08 t=38602
bei dao 	被盜	c=1 d=0.183599 t=38602
bei de 	倍的	c=1 d=3.35213e-54 t=38602
bei dong 	被動	c=2 d=6.81209e-22 t=38602
bei dong ren zheng 	被動認證	c=1 d=1.88985e-47 t=38602
bei dong yu tai 	被動語態	c=1 d=1.68518e-22 t=38602
bei fa jue 	被發掘	c=1 d=4.72191e-26 t=38602
bei fei qi 	被廢棄	c=1 d=0.000774818 t=38602
bei fen pei 	被分配	c=1 d=1.88343e-07 t=38602
bei feng 	被封	c=1 d=2.5358e-06 t=38602
bei guang 	背光	c=1 d=5.68769e-62 t=38602
bei hou 	背後	c=0 d=5.77146e-06 t=38602
bei huan chu 	被換出	c=1 d=1.16524e-05 t=38602
bei jiao zhu 	被叫住	c=1 d=1.02916e-44 t=38602
bei jing 	北京	c=2 d=3.24168e-63 t=38602
bei jing 	背景	c=7 d=1.85602e-11 t=38602
bei jing 	背淨	c=1 d=3.04947e-29 t=38602
bei jing jie shao 	背景介紹	c=1 d=1.97577e-70 t=38602
bei jing shi jian 	北京時間	c=2 d=3.08284e-10 t=38602
bei jing tu 	背景圖	c=1 d=7.50791e-70 t=38602
bei ju 	悲劇	c=2 d=0.0774916 t=38602
bei ke xuan yi lai 	被可選依賴	c=1 d=4.5886e-42 t=38602
bei lan jie le 	被攔截了	c=1 d=1.47588e-50 t=38602
bei mei 	北美	c=2 d=0.00012465 t=38602
bei mei qun 	北美羣	c=1 d=1.65981e-20 t=38602
bei po 	被迫	c=1 d=2.28492e-45 t=38602
bei po le 	被破了	c=1 d=1.83281e-10 t=38602
bei qiang le 	被牆了	c=1 d=0.000713734 t=38602
bei ren 	被人	c=0 d=5.2338e-32 t=38602
bei ren mai zou 	被人買走	c=1 d=5.26004e-31 t=38602
bei shang 	背上	c=0 d=7.69891e-63 t=38602
bei shu 	倍數	c=1 d=2.03711e-18 t=38602
bei shui 	被誰	c=1 d=3.07593e-13 t=38602
bei sou suo dao 	被搜索到	c=1 d=1.78446e-19 t=38602
bei suo yin de 	被索引的	c=2 d=1.6998e-06 t=38602
bei ti shi 	被提示	c=1 d=1.20917e-58 t=38602
bei wei 	卑微	c=1 d=0.257947 t=38602
bei wo 	被我	c=3 d=5.90329e-07 t=38602
bei xia le yi tiao 	被嚇了一跳	c=1 d=0.0101529 t=38602
bei xia yi tiao 	被嚇一跳	c=1 d=2.82317e-63 t=38602
bei xian zhi le 	被限制了	c=1 d=2.12133e-24 t=38602
bei yi ge 	備一個	c=1 d=8.17564e-43 t=38602
bei yi zhi dao 	被移植到	c=1 d=5.97278e-26 t=38602
bei yin fa 	被引發	c=1 d=2.93639e-55 t=38602
bei ying xiang 	被影響	c=1 d=1.77213e-55 t=38602
bei yong 	備用	c=0 d=2.52402e-11 t=38602
bei yong ma 	備用嗎	c=1 d=2.53667e-10 t=38602
bei yong zuo 	被用作	c=1 d=3.21532e-05 t=38602
bei you 	北郵	c=1 d=0.0240254 t=38602
bei you ren 	北郵人	c=3 d=0.239309 t=38602
bei zhan man 	被沾滿	c=1 d=1.28665e-24 t=38602
bei zhi zi suo ding 	被智子鎖定	c=1 d=6.85609e-31 t=38602
bei zuo wei 	被作爲	c=1 d=0.0875977 t=38602
ben 	本	c=10 d=0.0211158 t=38602
ben bu 	本部	c=0 d=9.07952e-13 t=38602
ben cheng 	倴城	c=0 d=1.01453e-53 t=38602
ben cheng xu 	倴城須	c=1 d=1.01961e-52 t=38602
ben ci 	本次	c=4 d=9.3287e-08 t=38602
ben ci shi yan zhong 	本次實驗中	c=1 d=7.53399e-52 t=38602
ben di 	本地	c=3 d=0.540641 t=38602
ben di de 	本地的	c=2 d=8.41916e-07 t=38602
ben di de yuan 	本地的源	c=1 d=8.46137e-06 t=38602
ben di hui huan 	本地迴環	c=1 d=0.516851 t=38602
ben di ren 	本地人	c=0 d=4.29603e-62 t=38602
ben di shi jian 	本地時間	c=1 d=3.02839e-65 t=38602
ben di yong 	本地用	c=1 d=5.52502e-21 t=38602
ben duan 	本段	c=1 d=9.07797e-10 t=38602
ben fang 	奔放	c=0 d=2.74636e-63 t=38602
ben fang gan 	奔放感	c=1 d=2.76012e-62 t=38602
ben ji 	本機	c=0 d=1.47492e-14 t=38602
ben ji ce shi 	本機測試	c=1 d=1.48232e-13 t=38602
ben ke 	本科	c=1 d=2.78994e-12 t=38602
ben ke sheng 	本科生	c=2 d=0.0898153 t=38602
ben lai 	本來	c=10 d=1.28136e-05 t=38602
ben lai jiu bu chang 	本來就不長	c=1 d=3.96843e-69 t=38602
ben lai jiu shi 	本來就是	c=1 d=2.47446e-12 t=38602
ben mo kuai 	本模塊	c=1 d=1.22899e-14 t=38602
ben ren 	本人	c=1 d=5.76931e-30 t=38602
ben shen 	本身	c=9 d=6.21433e-09 t=38602
ben shen jiu shi 	本身就是	c=1 d=2.18333e-10 t=38602
ben shi yan 	本實驗	c=1 d=3.86268e-16 t=38602
ben shu ju ku 	本數據庫	c=1 d=1.11396e-05 t=38602
ben ti 	本體	c=1 d=1.75664e-40 t=38602
ben tie 	本帖	c=1 d=6.61556e-52 t=38602
ben wen 	本文	c=3 d=1.54094e-22 t=38602
ben xiang mu 	本項目	c=4 d=5.33719e-05 t=38602
ben xing 	本性	c=1 d=2.88668e-60 t=38602
ben ying gai 	本應該	c=1 d=2.81301e-50 t=38602
ben yuan 	本源	c=2 d=5.47635e-56 t=38602
ben yun suan qi 	本運算器	c=1 d=5.77619e-44 t=38602
ben zhang 	本章	c=2 d=7.28497e-23 t=38602
ben zhi 	本質	c=1 d=2.35298e-08 t=38602
ben zhou 	本週	c=1 d=2.47775e-57 t=38602
ben zi 	本子	c=1 d=6.77035e-30 t=38602
ben zuo 	本作	c=2 d=3.37428e-64 t=38602
beng 	崩	c=1 d=6.2739e-33 t=38602
beng diao 	蹦掉	c=2 d=1.33108e-41 t=38602
beng kui 	崩潰	c=1 d=1.45168e-32 t=38602
beng le 	崩了	c=2 d=1.82662e-32 t=38602
beng le yi ci 	崩了一次	c=1 d=1.40175e-32 t=38602
bi 	幣	c=1 d=0.169483 t=38602
bi 	比	c=20 d=0.0195559 t=38602
bi 	碧	c=1 d=2.41583e-24 t=38602
bi 	閉	c=0 d=2.01191e-49 t=38602
bi a 	比啊	c=1 d=3.57482e-47 t=38602
bi bao 	閉包	c=6 d=5.82814e-11 t=38602
bi bao he 	閉包核	c=2 d=1.7123e-11 t=38602
bi bu ke shao 	必不可少	c=1 d=0.00146632 t=38602
bi de 	彼得	c=7 d=2.05865e-24 t=38602
bi ding 	必定	c=2 d=7.52758e-42 t=38602
bi dui 	比對	c=2 d=8.43305e-09 t=38602
bi feng 	碧峯	c=2 d=3.26269e-30 t=38602
bi hu 	庇護	c=1 d=3.23253e-09 t=38602
bi hua 	壁畫	c=1 d=1.01629e-43 t=38602
bi hua 	筆畫	c=3 d=0.0011218 t=38602
bi hua bian yuan 	筆畫邊緣	c=1 d=1.05235e-12 t=38602
bi ji 	筆記	c=1 d=3.01707e-22 t=38602
bi ji ben 	筆記本	c=2 d=4.68622e-25 t=38602
bi jiang 	必將	c=0 d=2.02833e-27 t=38602
bi jiao 	比較	c=14 d=0.488221 t=38602
bi jiao da 	比較大	c=2 d=7.4107e-05 t=38602
bi jiao da xiao 	比較大小	c=1 d=7.33923e-38 t=38602
bi jiao gao de 	比較高的	c=1 d=2.15602e-09 t=38602
bi jiao hao 	比較好	c=2 d=6.17606e-09 t=38602
bi jiao hao de 	比較好的	c=1 d=2.21965e-57 t=38602
bi jiao hao ne 	比較好呢	c=1 d=4.05934e-13 t=38602
bi jiao he shi 	比較合適	c=2 d=0.637628 t=38602
bi jiao jian dan 	比較簡單	c=1 d=7.53039e-17 t=38602
bi jiao jian ku 	比較艱苦	c=1 d=0.082085 t=38602
bi jiao jin 	比較近	c=1 d=9.26076e-68 t=38602
bi jiao min gan 	比較敏感	c=1 d=9.74915e-55 t=38602
bi jiao qi dai 	比較期待	c=1 d=3.84211e-12 t=38602
bi jiao qi guai 	比較奇怪	c=1 d=2.31873e-12 t=38602
bi jiao qiang 	比較牆	c=1 d=9.74449e-20 t=38602
bi jiao rong yi 	比較容易	c=1 d=9.34459e-27 t=38602
bi jiao shao 	比較少	c=0 d=8.00719e-05 t=38602
bi jiao shao de 	比較少的	c=1 d=0.000804733 t=38602
bi jiao te shu 	比較特殊	c=1 d=8.04296e-27 t=38602
bi jiao wei xian 	比較危險	c=1 d=0.000169103 t=38602
bi jiao wen ding 	比較穩定	c=1 d=2.35042e-54 t=38602
bi jiao xin ku 	比較辛苦	c=1 d=0.000675539 t=38602
bi jiao zao 	比較早	c=1 d=0.0225956 t=38602
bi jing 	畢竟	c=6 d=0.00265162 t=38602
bi jing guo chan 	畢竟國產	c=1 d=0.0266491 t=38602
bi jing shi 	畢竟是	c=1 d=1.83213e-35 t=38602
bi kai 	避開	c=1 d=6.05441e-68 t=38602
bi li 	比例	c=1 d=6.37781e-11 t=38602
bi li zi ti 	比例字體	c=1 d=1.6584e-10 t=38602
bi mian 	避免	c=2 d=6.56091e-15 t=38602
bi mian le 	避免了	c=2 d=0.0361528 t=38602
bi qi 	比起	c=1 d=5.46318e-65 t=38602
bi qi ta hang ye 	比其他行業	c=1 d=0.00123708 t=38602
bi ru 	比如	c=33 d=0.1382 t=38602
bi ru zhe zhong 	比如這種	c=1 d=7.0127e-32 t=38602
bi sai 	比賽	c=1 d=4.72608e-07 t=38602
